,k,rhoa,r
807,-7428.121296487948,1.0,-0.00013462354208900774
808,-8086.459490339976,1.0,-0.00012366351444591944
809,-8782.496796035577,1.0,-0.00011386283687019395
810,-9517.28041112493,1.0,-0.00010507203284996006
811,-10291.857533160337,1.0,-9.716418992179038e-05
812,-11107.275359691725,1.0,-9.003108031596999e-05
813,-11964.581088271543,1.0,-8.358002613064863e-05
814,-12864.821916449962,1.0,-7.773135193743508e-05
815,-13809.045041779282,1.0,-7.241630373240864e-05
816,-14798.297661809585,1.0,-6.757534027584337e-05
817,-15833.626974093131,1.0,-6.315672344916253e-05
818,-16916.080176179392,1.0,-5.9115349985640504e-05
819,-223.50992174247463,1.0,-0.00447407431492991
820,-198.68450836216527,1.0,-0.005033105037948828
821,-174.55587118795552,1.0,-0.005728824777960266
822,2.5132741228718345,1.0,0.3978873577297384
823,-15.70796326794897,1.0,-0.06366197723675812
824,-4.886921905584123,1.0,-0.204627783975294
825,-13.962634015954636,1.0,-0.0716197243913529
826,-28.274333882308145,1.0,-0.03536776513153229
827,-48.869219055841214,1.0,-0.020462778397529406
828,-76.79448708775051,1.0,-0.013021768071155071
829,-113.09733552923261,1.0,-0.00884194128288307
830,-158.82496193148398,1.0,-0.006296239506932123
831,-215.0245638457016,1.0,-0.00465063145398395
832,-282.74333882308133,1.0,-0.0035367765131532306
833,-363.0284844148207,1.0,-0.0027546047842828027
834,-456.92719817211463,1.0,-0.00218853244893363
835,-565.4866776461632,1.0,-0.0017683882565766135
836,-689.7541203881602,1.0,-0.001449791991727789
837,-830.7767239493037,1.0,-0.00120369284691349
838,-989.6016858807833,1.0,-0.0010105075751866387
839,-1167.2762037338007,1.0,-0.0008566952678391546
840,-1364.8474750595656,1.0,-0.0007326826024690834
841,-1583.3626974092565,1.0,-0.0006315672344916479
842,-1823.86906833408,1.0,-0.000548284971417054
843,-2087.4137853852153,1.0,-0.0004790617016144013
844,-2375.044046113875,1.0,-0.00042104482299443365
845,-2687.807048071285,1.0,-0.000372050516318714
846,-3026.7499888085767,1.0,-0.00033038738042372347
847,-3392.9200658769864,1.0,-0.00029473137609610164
848,-3787.3644768276736,1.0,-0.00026403585029070344
849,-4211.130419211901,1.0,-0.000237465929679553
